task_id,task,deadline_days,complexity,resources,dependencies,priority,success,delay,gender,race/ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,task_length,deadline_urgency,resource_efficiency,start_delay,completion_time,abandoned
,Academic performance evaluation for group C,30,0.4,1.0,0,5,1,0,female,group C,master's degree,standard,completed,81.0,91.0,87.0,,,,0.0,30,0
,Academic performance evaluation for group D,30,0.4,1.0,0,5,1,0,female,group D,master's degree,standard,completed,77.0,82.0,91.0,,,,0.0,30,0
,Academic performance evaluation for group D,30,0.4,0.5,0,5,1,0,female,group D,master's degree,free/reduced,completed,85.0,95.0,100.0,,,,0.0,30,0
,Academic performance evaluation for group C,30,0.8,0.5,0,5,1,0,male,group C,master's degree,free/reduced,none,79.0,81.0,71.0,,,,0.0,30,0
,Academic performance evaluation for group D,30,0.8,0.5,0,5,0,0,female,group D,master's degree,free/reduced,none,40.0,59.0,54.0,,,,0.0,30,0
,Academic performance evaluation for group C,30,0.8,1.0,0,5,1,0,male,group C,master's degree,standard,none,79.0,78.0,77.0,,,,0.0,30,0
,Academic performance evaluation for group E,30,0.4,1.0,0,5,1,0,female,group E,master's degree,standard,completed,94.0,99.0,100.0,,,,0.0,30,0
TASK-0,Simulated task 0 with 74 words,17,0.35,0.878,0,2,1,0,,,,,,,,,74.0,0.118,1.954,0.0,17,0
TASK-1,Simulated task 1 with 64 words,15,0.336,1.0,3,3,1,0,,,,,,,,,64.0,0.2,2.296,0.0,15,0
TASK-2,Simulated task 2 with 49 words,24,0.25,0.77,2,5,1,0,,,,,,,,,49.0,0.208,2.2,0.0,24,0
TASK-3,Simulated task 3 with 71 words,16,0.734,0.589,2,1,1,0,,,,,,,,,71.0,0.062,0.706,0.0,16,0
TASK-4,Simulated task 4 with 47 words,23,0.51,0.647,2,5,1,0,,,,,,,,,47.0,0.217,1.061,0.0,23,0
TASK-5,Simulated task 5 with 61 words,14,0.641,0.374,4,4,0,1,,,,,,,,,61.0,0.286,0.504,2.8000000000000003,14,1
TASK-6,Simulated task 6 with 48 words,3,0.602,0.943,1,1,0,0,,,,,,,,,48.0,0.333,1.343,0.0,3,0
TASK-7,Simulated task 7 with 61 words,19,0.458,0.415,2,4,1,1,,,,,,,,,61.0,0.211,0.743,3.8000000000000003,19,0
TASK-8,Simulated task 8 with 55 words,12,0.692,0.498,0,4,0,0,,,,,,,,,55.0,0.333,0.629,0.0,12,0
TASK-9,Simulated task 9 with 90 words,19,0.403,0.524,4,4,0,1,,,,,,,,,90.0,0.211,1.041,3.8000000000000003,19,1
TASK-10,Simulated task 10 with 79 words,18,0.466,0.1,2,5,0,1,,,,,,,,,79.0,0.278,0.177,3.6,18,1
TASK-11,Simulated task 11 with 29 words,30,0.358,0.817,4,1,1,0,,,,,,,,,29.0,0.033,1.782,0.0,30,0
TASK-12,Simulated task 12 with 57 words,14,0.78,0.363,3,4,0,0,,,,,,,,,57.0,0.286,0.413,0.0,14,0
TASK-13,Simulated task 13 with 54 words,20,0.479,0.772,4,2,1,1,,,,,,,,,54.0,0.1,1.335,4.0,20,0
TASK-14,Simulated task 14 with 61 words,23,0.62,0.488,0,3,1,0,,,,,,,,,61.0,0.13,0.678,0.0,23,0
TASK-15,Simulated task 15 with 62 words,9,0.384,0.486,4,5,0,1,,,,,,,,,62.0,0.556,1.004,1.8,9,1
TASK-16,Simulated task 16 with 54 words,3,0.669,0.322,3,2,0,0,,,,,,,,,54.0,0.667,0.419,0.0,3,0
TASK-17,Simulated task 17 with 55 words,26,0.655,0.947,1,1,1,0,,,,,,,,,55.0,0.038,1.255,0.0,26,0
TASK-18,Simulated task 18 with 76 words,23,0.175,1.0,1,3,1,0,,,,,,,,,76.0,0.13,3.638,0.0,23,0
TASK-19,Simulated task 19 with 94 words,12,0.501,0.85,5,4,0,1,,,,,,,,,94.0,0.333,1.415,2.4000000000000004,12,1
TASK-20,Simulated task 20 with 61 words,20,0.523,0.666,1,2,1,0,,,,,,,,,61.0,0.1,1.069,0.0,20,0
TASK-21,Simulated task 21 with 86 words,17,0.44,0.634,0,2,1,0,,,,,,,,,86.0,0.118,1.174,0.0,17,0
TASK-22,Simulated task 22 with 66 words,5,0.777,0.872,2,4,0,1,,,,,,,,,66.0,0.8,0.994,1.0,5,1
TASK-23,Simulated task 23 with 64 words,8,0.257,0.569,3,4,0,1,,,,,,,,,64.0,0.5,1.595,1.6,8,1
TASK-24,Simulated task 24 with 70 words,19,0.41,0.929,2,2,1,0,,,,,,,,,70.0,0.105,1.821,0.0,19,0
TASK-25,Simulated task 25 with 64 words,26,0.33,0.359,3,1,0,1,,,,,,,,,64.0,0.038,0.835,5.2,26,1
TASK-26,Simulated task 26 with 67 words,4,0.706,0.845,2,5,1,1,,,,,,,,,67.0,1.25,1.049,0.8,4,0
TASK-27,Simulated task 27 with 42 words,15,0.294,0.921,2,1,1,1,,,,,,,,,42.0,0.067,2.337,3.0,15,0
TASK-28,Simulated task 28 with 55 words,19,0.133,0.325,3,1,1,1,,,,,,,,,55.0,0.053,1.394,3.8000000000000003,19,0
TASK-29,Simulated task 29 with 70 words,15,0.586,0.39,2,5,0,0,,,,,,,,,70.0,0.333,0.569,0.0,15,0
TASK-30,Simulated task 30 with 39 words,26,0.472,0.589,3,1,0,0,,,,,,,,,39.0,0.038,1.029,0.0,26,0
TASK-31,Simulated task 31 with 75 words,14,0.708,0.706,3,3,0,1,,,,,,,,,75.0,0.214,0.873,2.8000000000000003,14,1
TASK-32,Simulated task 32 with 57 words,30,0.662,0.446,0,4,1,0,,,,,,,,,57.0,0.133,0.584,0.0,30,0
TASK-33,Simulated task 33 with 42 words,16,0.492,0.623,3,2,1,1,,,,,,,,,42.0,0.125,1.053,3.2,16,0
TASK-34,Simulated task 34 with 89 words,24,0.211,0.1,0,5,0,0,,,,,,,,,89.0,0.208,0.321,0.0,24,0
TASK-35,Simulated task 35 with 41 words,10,0.26,0.791,2,1,1,1,,,,,,,,,41.0,0.1,2.196,2.0,10,0
TASK-36,Simulated task 36 with 58 words,24,0.145,0.803,4,2,1,1,,,,,,,,,58.0,0.083,3.273,4.800000000000001,24,0
TASK-37,Simulated task 37 with 60 words,14,0.472,0.98,1,3,1,0,,,,,,,,,60.0,0.214,1.713,0.0,14,0
TASK-38,Simulated task 38 with 62 words,20,0.368,0.743,3,1,1,1,,,,,,,,,62.0,0.05,1.588,4.0,20,0
TASK-39,Simulated task 39 with 66 words,11,0.464,0.507,0,1,0,0,,,,,,,,,66.0,0.091,0.9,0.0,11,0
TASK-40,Simulated task 40 with 51 words,2,0.535,0.346,2,1,0,1,,,,,,,,,51.0,0.5,0.546,0.4,2,1
TASK-41,Simulated task 41 with 63 words,28,0.88,0.397,3,3,1,1,,,,,,,,,63.0,0.107,0.405,5.6000000000000005,28,0
TASK-42,Simulated task 42 with 79 words,19,0.616,0.578,3,4,1,1,,,,,,,,,79.0,0.211,0.807,3.8000000000000003,19,0
TASK-43,Simulated task 43 with 71 words,3,0.514,0.388,4,2,0,1,,,,,,,,,71.0,0.667,0.632,0.6000000000000001,3,1
TASK-44,Simulated task 44 with 59 words,4,0.187,0.408,2,1,0,1,,,,,,,,,59.0,0.25,1.421,0.8,4,1
TASK-45,Simulated task 45 with 56 words,11,0.505,0.591,1,1,1,0,,,,,,,,,56.0,0.091,0.976,0.0,11,0
TASK-46,Simulated task 46 with 55 words,13,0.676,0.197,6,3,0,1,,,,,,,,,55.0,0.231,0.254,2.6,13,1
TASK-47,Simulated task 47 with 80 words,18,0.578,0.352,2,3,0,1,,,,,,,,,80.0,0.167,0.52,3.6,18,1
TASK-48,Simulated task 48 with 58 words,18,0.29,0.655,2,2,0,0,,,,,,,,,58.0,0.111,1.677,0.0,18,0
TASK-49,Simulated task 49 with 59 words,19,0.425,0.667,2,2,0,0,,,,,,,,,59.0,0.105,1.27,0.0,19,0
TASK-50,Simulated task 50 with 65 words,12,0.515,0.816,2,1,0,0,,,,,,,,,65.0,0.083,1.328,0.0,12,0
TASK-51,Simulated task 51 with 120 words,1,0.418,0.639,1,1,0,1,,,,,,,,,120.0,1.0,1.232,0.2,1,1
TASK-52,Simulated task 52 with 74 words,24,0.377,0.608,4,1,1,1,,,,,,,,,74.0,0.042,1.275,4.800000000000001,24,0
TASK-53,Simulated task 53 with 70 words,6,0.1,0.759,1,1,1,0,,,,,,,,,70.0,0.167,3.796,0.0,6,0
TASK-54,Simulated task 54 with 58 words,3,0.346,0.648,4,1,0,1,,,,,,,,,58.0,0.333,1.451,0.6000000000000001,3,1
TASK-55,Simulated task 55 with 79 words,17,0.55,0.357,7,3,0,1,,,,,,,,,79.0,0.176,0.549,3.4000000000000004,17,1
TASK-56,Simulated task 56 with 70 words,3,0.675,0.4,3,4,0,1,,,,,,,,,70.0,1.333,0.516,0.6000000000000001,3,1
TASK-57,Simulated task 57 with 45 words,1,0.515,1.0,3,2,0,1,,,,,,,,,45.0,2.0,1.625,0.2,1,1
TASK-58,Simulated task 58 with 85 words,3,0.712,1.0,1,3,0,1,,,,,,,,,85.0,1.0,1.232,0.6000000000000001,3,1
TASK-59,Simulated task 59 with 80 words,4,0.484,0.784,3,5,0,1,,,,,,,,,80.0,1.25,1.342,0.8,4,1
TASK-60,Simulated task 60 with 75 words,6,0.324,0.348,4,5,0,1,,,,,,,,,75.0,0.833,0.82,1.2000000000000002,6,1
TASK-61,Simulated task 61 with 76 words,7,0.405,1.0,3,5,0,0,,,,,,,,,76.0,0.714,1.979,0.0,7,0
TASK-62,Simulated task 62 with 109 words,23,0.6,0.492,1,2,1,0,,,,,,,,,109.0,0.087,0.704,0.0,23,0
TASK-63,Simulated task 63 with 46 words,25,0.446,0.706,2,1,1,0,,,,,,,,,46.0,0.04,1.293,0.0,25,0
TASK-64,Simulated task 64 with 58 words,8,0.372,0.595,3,5,1,0,,,,,,,,,58.0,0.625,1.262,0.0,8,0
TASK-65,Simulated task 65 with 34 words,13,0.188,0.646,2,5,1,0,,,,,,,,,34.0,0.385,2.241,0.0,13,0
TASK-66,Simulated task 66 with 98 words,4,0.321,0.49,2,4,0,1,,,,,,,,,98.0,1.0,1.163,0.8,4,1
TASK-67,Simulated task 67 with 72 words,6,0.421,0.924,1,3,1,0,,,,,,,,,72.0,0.5,1.776,0.0,6,0
TASK-68,Simulated task 68 with 63 words,11,0.384,0.554,1,2,1,1,,,,,,,,,63.0,0.182,1.145,2.2,11,0
TASK-69,Simulated task 69 with 79 words,1,0.305,0.753,0,2,0,1,,,,,,,,,79.0,2.0,1.859,0.2,1,1
TASK-70,Simulated task 70 with 51 words,8,0.811,0.748,1,4,1,0,,,,,,,,,51.0,0.5,0.82,0.0,8,0
TASK-71,Simulated task 71 with 77 words,22,0.62,0.572,1,5,1,0,,,,,,,,,77.0,0.227,0.795,0.0,22,0
TASK-72,Simulated task 72 with 73 words,2,0.938,0.224,4,4,0,1,,,,,,,,,73.0,2.0,0.216,0.4,2,1
TASK-73,Simulated task 73 with 62 words,8,0.179,0.393,0,1,1,0,,,,,,,,,62.0,0.125,1.409,0.0,8,0
TASK-74,Simulated task 74 with 50 words,20,0.563,0.778,0,5,0,0,,,,,,,,,50.0,0.25,1.174,0.0,20,0
TASK-75,Simulated task 75 with 60 words,9,0.413,0.677,0,2,1,0,,,,,,,,,60.0,0.222,1.319,0.0,9,0
TASK-76,Simulated task 76 with 60 words,4,0.504,0.396,0,3,0,0,,,,,,,,,60.0,0.75,0.656,0.0,4,0
TASK-77,Simulated task 77 with 69 words,17,0.87,0.611,2,4,1,1,,,,,,,,,69.0,0.235,0.63,3.4000000000000004,17,0
TASK-78,Simulated task 78 with 69 words,7,0.152,0.652,3,4,0,1,,,,,,,,,69.0,0.571,2.588,1.4000000000000001,7,1
TASK-79,Simulated task 79 with 53 words,10,0.385,0.746,5,2,0,1,,,,,,,,,53.0,0.2,1.536,2.0,10,1
TASK-80,Simulated task 80 with 99 words,5,0.35,1.0,0,5,1,0,,,,,,,,,99.0,1.0,2.22,0.0,5,0
TASK-81,Simulated task 81 with 33 words,10,0.386,0.1,0,5,0,1,,,,,,,,,33.0,0.5,0.206,2.0,10,1
TASK-82,Simulated task 82 with 64 words,27,0.1,0.903,1,5,1,0,,,,,,,,,64.0,0.185,4.513,0.0,27,0
TASK-83,Simulated task 83 with 62 words,12,0.757,0.654,0,3,0,0,,,,,,,,,62.0,0.25,0.763,0.0,12,0
TASK-84,Simulated task 84 with 80 words,21,0.765,0.342,1,3,0,0,,,,,,,,,80.0,0.143,0.396,0.0,21,0
TASK-85,Simulated task 85 with 49 words,20,0.616,0.641,2,5,1,0,,,,,,,,,49.0,0.25,0.895,0.0,20,0
TASK-86,Simulated task 86 with 74 words,6,0.232,0.962,0,3,1,1,,,,,,,,,74.0,0.5,2.894,1.2000000000000002,6,0
TASK-87,Simulated task 87 with 70 words,1,0.556,1.0,4,4,1,1,,,,,,,,,70.0,4.0,1.525,0.2,1,0
TASK-88,Simulated task 88 with 66 words,3,0.673,0.345,2,5,0,0,,,,,,,,,66.0,1.667,0.446,0.0,3,0
TASK-89,Simulated task 89 with 82 words,27,0.578,0.388,1,3,1,0,,,,,,,,,82.0,0.111,0.572,0.0,27,0
TASK-90,Simulated task 90 with 61 words,28,0.49,0.277,1,4,0,0,,,,,,,,,61.0,0.143,0.469,0.0,28,0
TASK-91,Simulated task 91 with 76 words,7,0.782,0.658,4,4,0,1,,,,,,,,,76.0,0.571,0.746,1.4000000000000001,7,1
TASK-92,Simulated task 92 with 48 words,11,0.358,0.671,5,3,0,1,,,,,,,,,48.0,0.273,1.464,2.2,11,1
TASK-93,Simulated task 93 with 111 words,24,0.466,0.847,1,5,1,0,,,,,,,,,111.0,0.208,1.496,0.0,24,0
TASK-94,Simulated task 94 with 65 words,12,0.625,0.71,2,5,1,0,,,,,,,,,65.0,0.417,0.98,0.0,12,0
TASK-95,Simulated task 95 with 48 words,9,0.564,0.823,1,3,1,0,,,,,,,,,48.0,0.333,1.241,0.0,9,0
TASK-96,Simulated task 96 with 58 words,1,0.612,0.253,2,3,0,1,,,,,,,,,58.0,3.0,0.356,0.2,1,1
TASK-97,Simulated task 97 with 60 words,4,0.607,1.0,1,1,0,1,,,,,,,,,60.0,0.25,1.415,0.8,4,1
TASK-98,Simulated task 98 with 49 words,2,0.605,0.924,1,4,1,1,,,,,,,,,49.0,2.0,1.311,0.4,2,0
TASK-99,Simulated task 99 with 50 words,2,0.427,0.468,2,5,0,1,,,,,,,,,50.0,2.5,0.887,0.4,2,1
TASK-100,Simulated task 100 with 78 words,17,0.36,0.403,2,2,0,1,,,,,,,,,78.0,0.118,0.876,3.4000000000000004,17,1
TASK-101,Simulated task 101 with 45 words,21,0.527,0.787,1,4,1,0,,,,,,,,,45.0,0.19,1.254,0.0,21,0
TASK-102,Simulated task 102 with 66 words,2,0.802,0.21,2,5,0,1,,,,,,,,,66.0,2.5,0.232,0.4,2,1
TASK-103,Simulated task 103 with 39 words,4,0.495,0.416,4,1,0,1,,,,,,,,,39.0,0.25,0.699,0.8,4,1
TASK-104,Simulated task 104 with 69 words,25,0.62,0.343,3,4,0,1,,,,,,,,,69.0,0.16,0.477,5.0,25,1
TASK-105,Simulated task 105 with 74 words,11,0.522,0.576,0,4,1,0,,,,,,,,,74.0,0.364,0.925,0.0,11,0
TASK-106,Simulated task 106 with 94 words,19,0.907,0.489,2,5,0,0,,,,,,,,,94.0,0.263,0.486,0.0,19,0
TASK-107,Simulated task 107 with 54 words,24,0.472,0.404,0,2,1,1,,,,,,,,,54.0,0.083,0.705,4.800000000000001,24,0
TASK-108,Simulated task 108 with 77 words,26,0.621,0.379,2,3,1,1,,,,,,,,,77.0,0.115,0.526,5.2,26,0
TASK-109,Simulated task 109 with 113 words,13,0.356,0.44,0,2,0,0,,,,,,,,,113.0,0.154,0.965,0.0,13,0
TASK-110,Simulated task 110 with 54 words,22,0.276,0.302,2,1,0,0,,,,,,,,,54.0,0.045,0.805,0.0,22,0
TASK-111,Simulated task 111 with 93 words,26,0.499,0.736,4,4,1,0,,,,,,,,,93.0,0.154,1.229,0.0,26,0
TASK-112,Simulated task 112 with 41 words,21,0.736,0.882,3,5,0,0,,,,,,,,,41.0,0.238,1.054,0.0,21,0
TASK-113,Simulated task 113 with 98 words,18,0.627,0.7,3,4,1,1,,,,,,,,,98.0,0.222,0.964,3.6,18,0
TASK-114,Simulated task 114 with 51 words,27,0.1,0.946,1,3,1,0,,,,,,,,,51.0,0.111,4.729,0.0,27,0
TASK-115,Simulated task 115 with 64 words,29,0.647,0.39,2,2,1,0,,,,,,,,,64.0,0.069,0.522,0.0,29,0
TASK-116,Simulated task 116 with 76 words,19,0.194,0.413,3,2,0,1,,,,,,,,,76.0,0.105,1.405,3.8000000000000003,19,1
TASK-117,Simulated task 117 with 54 words,24,0.668,0.711,5,1,0,1,,,,,,,,,54.0,0.042,0.925,4.800000000000001,24,1
TASK-118,Simulated task 118 with 63 words,15,0.609,0.743,0,5,1,0,,,,,,,,,63.0,0.333,1.048,0.0,15,0
TASK-119,Simulated task 119 with 69 words,28,0.47,0.604,1,3,1,0,,,,,,,,,69.0,0.107,1.059,0.0,28,0
TASK-120,Simulated task 120 with 80 words,12,0.645,0.594,1,3,0,1,,,,,,,,,80.0,0.25,0.797,2.4000000000000004,12,1
TASK-121,Simulated task 121 with 41 words,25,0.447,0.333,2,5,0,0,,,,,,,,,41.0,0.2,0.609,0.0,25,0
TASK-122,Simulated task 122 with 113 words,11,0.53,0.1,2,1,0,1,,,,,,,,,113.0,0.091,0.159,2.2,11,1
TASK-123,Simulated task 123 with 45 words,27,0.212,0.739,2,3,1,0,,,,,,,,,45.0,0.111,2.367,0.0,27,0
TASK-124,Simulated task 124 with 66 words,23,0.449,0.845,4,1,1,1,,,,,,,,,66.0,0.043,1.541,4.6000000000000005,23,0
TASK-125,Simulated task 125 with 50 words,1,0.685,0.491,0,5,0,1,,,,,,,,,50.0,5.0,0.626,0.2,1,1
TASK-126,Simulated task 126 with 66 words,16,0.234,0.462,1,5,1,0,,,,,,,,,66.0,0.312,1.384,0.0,16,0
TASK-127,Simulated task 127 with 54 words,28,0.664,0.435,0,5,1,0,,,,,,,,,54.0,0.179,0.57,0.0,28,0
TASK-128,Simulated task 128 with 44 words,28,0.1,0.506,1,3,1,0,,,,,,,,,44.0,0.107,2.531,0.0,28,0
TASK-129,Simulated task 129 with 46 words,13,0.262,0.852,4,5,1,1,,,,,,,,,46.0,0.385,2.352,2.6,13,0
TASK-130,Simulated task 130 with 108 words,29,0.437,0.366,1,3,1,0,,,,,,,,,108.0,0.103,0.682,0.0,29,0
TASK-131,Simulated task 131 with 49 words,6,0.531,0.761,0,1,0,0,,,,,,,,,49.0,0.167,1.207,0.0,6,0
TASK-132,Simulated task 132 with 66 words,23,0.385,0.476,5,4,0,1,,,,,,,,,66.0,0.174,0.98,4.6000000000000005,23,1
TASK-133,Simulated task 133 with 79 words,28,0.38,0.101,3,1,0,1,,,,,,,,,79.0,0.036,0.211,5.6000000000000005,28,1
TASK-134,Simulated task 134 with 85 words,6,0.721,0.514,2,3,0,0,,,,,,,,,85.0,0.5,0.626,0.0,6,0
TASK-135,Simulated task 135 with 60 words,10,0.738,1.0,2,2,0,1,,,,,,,,,60.0,0.2,1.194,2.0,10,1
TASK-136,Simulated task 136 with 56 words,27,0.415,0.429,3,2,1,0,,,,,,,,,56.0,0.074,0.832,0.0,27,0
TASK-137,Simulated task 137 with 44 words,29,0.421,0.541,2,4,1,0,,,,,,,,,44.0,0.138,1.037,0.0,29,0
TASK-138,Simulated task 138 with 93 words,2,0.443,0.602,5,5,0,1,,,,,,,,,93.0,2.5,1.11,0.4,2,1
TASK-139,Simulated task 139 with 80 words,29,0.944,0.649,3,1,1,1,,,,,,,,,80.0,0.034,0.622,5.800000000000001,29,0
TASK-140,Simulated task 140 with 46 words,25,0.503,0.986,3,1,1,1,,,,,,,,,46.0,0.04,1.633,5.0,25,0
TASK-141,Simulated task 141 with 58 words,3,0.814,0.402,2,3,0,1,,,,,,,,,58.0,1.0,0.439,0.6000000000000001,3,1
TASK-142,Simulated task 142 with 37 words,6,0.646,0.603,3,4,1,1,,,,,,,,,37.0,0.667,0.807,1.2000000000000002,6,0
TASK-143,Simulated task 143 with 64 words,16,0.479,0.79,1,5,1,1,,,,,,,,,64.0,0.312,1.364,3.2,16,0
TASK-144,Simulated task 144 with 62 words,6,0.371,0.421,1,4,1,0,,,,,,,,,62.0,0.667,0.896,0.0,6,0
TASK-145,Simulated task 145 with 59 words,24,0.656,0.618,3,2,0,1,,,,,,,,,59.0,0.083,0.818,4.800000000000001,24,1
TASK-146,Simulated task 146 with 73 words,13,0.343,0.846,2,4,1,1,,,,,,,,,73.0,0.308,1.91,2.6,13,0
TASK-147,Simulated task 147 with 56 words,4,0.423,0.47,1,5,0,1,,,,,,,,,56.0,1.25,0.899,0.8,4,1
TASK-148,Simulated task 148 with 47 words,15,0.632,0.557,1,5,0,0,,,,,,,,,47.0,0.333,0.761,0.0,15,0
TASK-149,Simulated task 149 with 36 words,6,0.452,0.312,1,1,0,0,,,,,,,,,36.0,0.167,0.566,0.0,6,0
TASK-150,Simulated task 150 with 46 words,1,0.421,0.837,2,1,0,1,,,,,,,,,46.0,1.0,1.606,0.2,1,1
TASK-151,Simulated task 151 with 43 words,9,0.438,0.64,2,5,0,1,,,,,,,,,43.0,0.556,1.188,1.8,9,1
TASK-152,Simulated task 152 with 80 words,12,0.363,0.494,1,1,1,0,,,,,,,,,80.0,0.083,1.067,0.0,12,0
TASK-153,Simulated task 153 with 45 words,25,0.59,0.523,3,1,0,1,,,,,,,,,45.0,0.04,0.758,5.0,25,1
TASK-154,Simulated task 154 with 61 words,23,0.507,0.598,3,1,0,1,,,,,,,,,61.0,0.043,0.984,4.6000000000000005,23,1
TASK-155,Simulated task 155 with 56 words,11,0.229,0.684,2,5,1,1,,,,,,,,,56.0,0.455,2.079,2.2,11,0
TASK-156,Simulated task 156 with 60 words,13,0.403,0.437,2,1,0,0,,,,,,,,,60.0,0.077,0.869,0.0,13,0
